ID,name
7005486887,Sachdev A.
34874038200,Wright G.A.
57201366662,Collins N.S.
57201358872,Farnsworth M.S.
7202006620,Shen T.-C.
57194679331,Anderson C.M.
57194686620,Thompson S.K.
35791260000,Whitty K.J.
57198333909,Roy J.
56666222000,Kumar A.
7103392045,Choudhury D.
56009607700,Chanda A.
57200525944,Ruchti T.
57214792802,Upchurch W.
57216486642,Lee J.H.
57203661089,Millard J.D.
57203982016,Bean M.
57203992542,Wood D.
57203980122,Frandsen D.
57203980107,Burrow D.
57204553875,Jensen T.D.
57204546854,Bresciano K.A.
57204555914,Dallon E.
57204555396,Stewart E.
6507235629,Griffitts J.
57195398251,McMurray J.
57201484423,Olsen M.
57194155925,Orfila M.
35792700800,Yeung E.
39062086200,Salva K.T.
55658283500,Lund J.
57203575128,Baskota A.
56897186700,Lansinger V.B.
57197726868,Medina J.
56261172000,Klein M.
57203731804,Johnson M.H.
57203372448,Rendon G.T.
57203247682,Reynolds J.
57202927332,Witzeman J.S.
7202608915,Henderson P.
57202921889,Welling A.G.
7801604567,Cosner R.
54581173100,Kimmons R.
57202810627,Carpenter J.P.
18042644100,Veletsianos G.
55943223600,Krutka D.G.
57204434337,Galan A.M.
56556056000,Hinton D.
57196465311,Cope M.
56740595400,Villanueva I.
56662711400,Campbell B.D.
56741048000,Raikes A.C.
56149906900,Jones S.H.
6603615600,Putney L.G.
57189843306,Zeng M.
56078900600,Holler B.J.
15081035500,Milam S.N.
7402814790,Bauer J.M.
7101806481,Alcock C.
15318992700,Bannister M.T.
6601908712,Bjoraker G.L.
8077103900,Bodewits D.
6602183163,Bosh A.S.
7004295901,Buie M.W.
7004640341,Farnham T.L.
35772366400,Haghighipour N.
8390181000,Hardersen P.S.
23004910700,Harris A.W.
7003793778,Hirata C.M.
8578022500,Hsieh H.H.
9241584700,Kelley M.S.P.
15842178900,Knight M.M.
10939408000,Kramer E.A.
54789941300,Longobardo A.
7006650428,Nixon C.A.
7006817766,Palomba E.
25937446600,Protopapa S.
