ID,name
7202812767,Griffiths A.
6603907334,Carrion R.
7103123753,Mathies R.A.
55945072200,Prince D.
55944583700,Shen C.
35099253600,Parent J.R.
56364369100,Qi C.
57202367046,Li Y.
57193409777,Badger P.
57193401477,Yu H.
56896749800,You Z.
55877167500,Yan X.
56247393100,Liu W.
7404963860,Shi Y.
37105487900,Xia T.
7403361614,Dong J.
52663627000,Huang C.
14321763900,Du Y.
57195340095,Mishra R.K.
57193099661,Embley J.S.
57194047820,Henrichsen A.M.
55938156500,Smith T.J.
57194061052,Maxfield J.H.
56080900100,Erickson S.D.
57196655805,Buck D.C.
15831070600,Bowman K.E.
35615891900,Jensen C.G.
12646129300,Xing C.
36933855300,Jensen C.
55812858700,Copeland C.G.
57203178543,Lewis R.V.
7403131979,Hamada M.S.
7103186661,Steiner S.H.
7202711709,MacKay R.J.
39862017300,Reese C.S.
57194015684,Willoughby D.
57194006378,El-Essawi M.
35316779800,Baskaran R.
6508342170,Alanoly J.
57189227384,McDonald S.J.
19639917400,Colton M.B.
57189219942,Alder C.K.
57193266780,Penner J.F.
56941526100,Eaton A.N.
56710953300,George M.W.
7005883030,Huffaker R.
55194109800,Sun G.
7004834766,Hewson J.C.
57192106462,Kim J.-R.
56012868500,Jeong Y.-H.
57190189579,He J.
8372868700,Astitha M.
55946345200,Frediani M.E.B.
55574195279,Rose M.A.
56608873500,Carter V.
56608333500,Brown J.
7004980415,Shumway S.
6506269903,Vermeltfoort A.T.
23134948300,Martens D.R.W.
7004615647,Lourenço P.B.
23973526000,Ni R.
56369566500,Pendlebury J.
57193265581,McEwen B.
24921842300,Liarte D.B.
55034648400,Posen S.
25222495900,Catelani G.
6601987763,Liepe M.
7004441442,Sethna J.P.
57190000029,McCall A.J.
55953141600,Balling R.J.
51461758000,Niedfeldt P.C.
56825569600,Ingersoll K.
7005903021,Archibald J.L.
12808778700,Ames D.P.
36240601900,Khoshniat A.
57189030360,Yekan T.
16027856900,Baktur R.
35213554500,Johnson M.A.
23012861700,Noble P.
55444802600,Rodrigues L.M.
55326050200,Ozcelik D.
57212184217,Rahman M.
57189292901,Duffield M.O.
36137344800,Laycock R.G.
55486520500,Fernelius M.H.
56950317400,Wilding P.R.
15521557600,Memmott M.J.
57209397116,O’Neill M.
57212209717,Bunker D.
57191997521,Hendershot T.
57200659857,Richard F.R.Y.
57200641848,Briscoe T.
57117361200,Stark C.G.
57192010162,Willett K.
57214281810,Hill J.C.
55945088000,Fletcher M.E.
57202648414,Rhamati M.
57188753800,Richards A.P.
57202642302,Shutt T.
57191474405,Buckmiller E.
57191477766,Schaumann L.
57205589719,Wang H.
8725937600,Wisco J.
57125618000,Nash C.
57195419580,Rahmati M.
57200206650,Howarth J.
57200203866,DeYoung J.
57200201882,Hosler T.
57200201106,Harper C.
57200819002,Butler M.
57200201511,Williams T.
57189243866,Allen J.T.
57197765649,Hirschi E.
57195290099,Sperry R.
57191918589,Stoddard A.
57191921086,Gruwell A.
57191923986,Zabriskie P.
7004848095,Turley R.S.
57196471974,Thomas S.M.
57196475822,Willett S.G.
57196468765,Greenburg M.J.
57192318731,Perry S.B.
55660173800,McClelland H.G.
57193903292,Kang C.K.
6701876192,Woolsey C.A.
57193902758,Roberts A.K.
57193895552,Buck D.
57193900229,Cheney T.
57208928114,Frustaci J.B.
55354928800,Heath D.
57195720669,Ngo K.
57195718233,Thameem M.
57190859038,Peterson M.W.
57203222139,Webber T.
56156055700,Shishavan R.A.
57200576069,Sayre A.
10540655600,Frankman D.
36924577900,Baxter A.
55541477400,Stitt K.
56559677100,Ekstrom L.T.
57194576753,He J.
57213582934,Harrington M.
24824356000,Kochenderfer M.J.
56559765400,Fredrickson A.
23009691800,Nicks J.
57191416025,Mojica J.L.
57192545746,Petersen D.
57192573362,Hansen B.
6701925700,Jellen E.N.
56299790500,Jackson E.W.
7003959730,Maughan P.J.
57201704300,Wang Y.
57171695300,Fry A.
7101671848,Wendt J.O.L.
57200204063,Hopkins E.
56559548600,Holland T.
57200200833,Billings B.
57200207993,Roberts M.
56748981000,Tolman S.S.
56577146500,Ma F.
57188764210,Bai R.
55632390400,Nevers D.R.
35489877400,Brushett F.R.
57203030537,Wheeler D.R.
56800225200,Marr K.M.
37052385600,Leake K.D.
13410345300,Gallagher H.L.
55693760600,Harker B.M.
57194853790,Cook M.R.
35578275000,McKinley R.L.
26658095100,Gonzalez-Juez E.D.
56362659400,Dasgupta A.
57193867023,Arshad S.
56913378600,Skousen D.J.
56086163900,Jones K.N.
57191407630,Kowalski T.
57201909948,Tiwari R.
35344727500,Jain P.
35408719100,Butail S.
55807632000,Baliyarasimhuni S.P.
57194116428,Scott E.
55932655400,Marsh A.
6701753933,Jüttler B.
55722439300,Qian X.
6507743831,Barker E.I.
8624941100,Sun X.
57202394793,Harris R.
56587519900,Major J.
57209165874,Nguyen T.
7202842875,Shao L.
57193807582,Bender C.
57194008450,Wolfe D.
57193811936,Reimschiissel B.
26538762200,Sabau S.
7003702751,Oara C.
9636293200,Jadbabaie A.
57202040530,Mancini S.
23006267900,Parness A.
7004002400,Chee P.W.
7202361029,Paterson A.H.
7007170899,Udall J.A.
7005725911,Wendel J.F.
56024800300,Liu L.
57203269936,Glorieux C.
57192908187,Ravert J.
6603263001,Cole-Rhodes A.
26325009000,Moazzami F.
57200730646,Busuttil P.
56316070300,Yuan Y.
37057761700,Rai A.
16053936800,Stan G.-B.
56830082600,Goncalves J.
7401698226,Allen B.L.
8702836000,Anapalli S.
7005306331,Blackshaw R.E.
7102554886,Lyon D.J.
35854537900,Machado S.
